bpm,ibi,sdnn,rmssd,sd1,sd2,s,label
413.7931034,145,163.9359631,223.6067977,70.71067812,141.4213562,31415.92654,fear
116.5048544,515,151.9045753,310.1612484,219.2031022,7.071067812,4869.468613,fear
72.58064516,826.6666667,9.428090416,14.14213562,7.071067812,7.071067812,157.0796327,normal
72.58064516,826.6666667,33.99346342,70.71067812,49.49747468,7.071067812,1099.557429,happy
67.1641791,893.3333333,9.428090416,14.14213562,7.071067812,7.071067812,157.0796327,happy
74.53416149,805,147.9019946,158.7450787,67.6592771,137.7598555,29281.94391,fear
71.00591716,845,58.94913061,71.18052168,41.63331999,56.96002497,7450.082605,happy
107.1428571,560,226.8626604,480.416486,339.411255,14.14213562,15079.64474,happy
64.28571429,933.3333333,49.88876516,63.2455532,14.14213562,42.42640687,1884.955592,normal
66.17647059,906.6666667,41.09609335,50.99019514,7.071067812,35.35533906,785.3981634,normal
134.3283582,446.6666667,132.9995823,280.713377,197.9898987,14.14213562,8796.45943,normal
69.23076923,866.6666667,24.94438258,31.6227766,7.071067812,21.21320344,471.238898,normal
113.9240506,526.6666667,204.1785711,431.0452412,304.0559159,21.21320344,20263.27262,fear
69.23076923,866.6666667,33.99346342,70.71067812,49.49747468,7.071067812,1099.557429,normal
70.3125,853.3333333,9.428090416,14.14213562,7.071067812,7.071067812,157.0796327,happy
89.10891089,673.3333333,9.428090416,14.14213562,7.071067812,7.071067812,157.0796327,normal
71.42857143,840,16.32993162,31.6227766,21.21320344,7.071067812,471.238898,normal
118.4210526,506.6666667,202.8683207,430.1162634,304.0559159,7.071067812,6754.424205,normal
140.625,426.6666667,195.1637489,401.9950248,284.2534081,24.49489743,21874.14961,fear
63.82978723,940,43.20493799,58.30951895,21.21320344,35.35533906,2356.19449,fear
68.70229008,873.3333333,24.94438258,44.72135955,28.28427125,14.14213562,1256.637061,happy
