bpm,ibi,sdnn,rmssd,sd1,sd2,s
413.7931034,145,163.9359631,223.6067977,70.71067812,141.4213562,31415.92654
116.5048544,515,151.9045753,310.1612484,219.2031022,7.071067812,4869.468613
74.53416149,805,147.9019946,158.7450787,67.6592771,137.7598555,29281.94391
113.9240506,526.6666667,204.1785711,431.0452412,304.0559159,21.21320344,20263.27262
140.625,426.6666667,195.1637489,401.9950248,284.2534081,24.49489743,21874.14961
63.82978723,940,43.20493799,58.30951895,21.21320344,35.35533906,2356.19449
